event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
ISR42863,"06 November 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Israel)","Former Government of Israel (2022-); Likud Party",Protesters,,,,"Protesters only",,376,"Middle East",Israel,Jerusalem,Jerusalem,"Judean Mountains","Jerusalem - Givat Ram",31.7755,35.2027,1,"Haaretz; Israel Hayom; Jerusalem Post; Times of Israel; Ynet",National,"On 6 November 2024, thousands protested outside of Knesset in Jerusalem - Givat Ram (Judean Mountains) against Prime Minister Netanyahu and his recent decision to fire Defense Minister Yoav Gallant. Protesters also called for an immediate hostage release deal. Former Defense Minister and Likud MK Moshe Yaalon spoke at the protest.",0,"crowd size=thousands",1731368110
ISR42923,"06 November 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Israel)",,Protesters,,,,"Protesters only",,376,"Middle East",Israel,"Tel Aviv","Tel Aviv","Tel Aviv","Tel Aviv",32.0809,34.7806,1,"Jerusalem Post; Times of Israel",National,"On 6 November 2024, protesters marched in Tel Aviv city against Prime Minister Netanyahu and his recent decision to fire Defense Minister Yoav Gallant. Protesters also called for an immediate hostage release deal.",0,"crowd size=no report",1731368110
ISR42924,"06 November 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Israel)",,Protesters,,,,"Protesters only",,376,"Middle East",Israel,HaMerkaz,"Petah Tiqwa","Southern Sharon",Raanana,32.1836,34.8739,1,"Jerusalem Post; Times of Israel; Ynet",National,"On 6 November 2024, hundreds protested in Raanana (Petah Tiqwa, HaMerkaz) against Prime Minister Netanyahu and his recent decision to fire Defense Minister Yoav Gallant. Protesters also called for an immediate hostage release deal and the immediate dissolution of the government.",0,"crowd size=hundreds",1731368110
ISR42940,"06 November 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Israel)",,Protesters,,,,"Protesters only",,376,"Middle East",Israel,HaMerkaz,Sharon,"Western Sharon","Bet Yannay",32.3809,34.8635,2,Ynet,National,"On 6 November 2024, dozens protested at an interchange on Highway 2 near Bet Yannay (Sharon, HaMerkaz), against Prime Minister Netanyahu and his recent decision to fire Defense Minister Yoav Gallant. Protesters also called for an immediate hostage release deal.",0,"crowd size=dozens",1731368110
ISR42941,"06 November 2024",2024,1,Demonstrations,Riots,"Violent demonstration","Rioters (Israel)",,Rioters,"Police Forces of Israel (2022-)",,"State forces","State forces-Rioters",,376,"Middle East",Israel,Jerusalem,Jerusalem,"Judean Mountains",Jerusalem,31.769,35.2163,1,"Arutz Sheva; Haderi Ha Haredeem; Jerusalem Post; Walla!News; Ynet",National,"On 6 November 2024, hundreds marched and demonstrated outside of the prime minister's residence in Jerusalem (Judean Mountains) against Prime Minister Netanyahu and his recent decision to fire Defense Minister Yoav Gallant. Demonstrators lit bonfires on the roads and clashed with police forces. Police arrested on demonstrator. Demonstrators also called for an immediate hostage release deal. Demonstrators marched following the main demonstration outside of Knesset.",0,"crowd size=hundreds",1731368110
ISR42942,"06 November 2024",2024,1,Demonstrations,Riots,"Violent demonstration","Rioters (Israel)","Students (Israel)",Rioters,"Police Forces of Israel (2022-)",,"State forces","State forces-Rioters",,376,"Middle East",Israel,HaMerkaz,"Petah Tiqwa","Southern Sharon","Hod HaSharon",32.1593,34.8932,1,Ynet,National,"On 6 November 2024, about 200 high school students demonstrated in Hod HaSharon (Petah Tiqwa, HaMerkaz) against Prime Minister Netanyahu and his recent decision to fire Defense Minister Yoav Gallant. Demonstrators blocked traffic at an intersection and set cardboard boxes on fire on the road. A police officer was documented kicking one of the burning cardboard boxes in the direction of the demonstrators.",0,"crowd size=about 200",1731368110
ISR42878,"05 November 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Israel)","Women (Israel)",Protesters,,,,"Protesters only",,376,"Middle East",Israel,"Tel Aviv","Tel Aviv","Tel Aviv","Tel Aviv",32.0809,34.7806,1,"Haaretz; N12; Ynet",National,"On 5 November 2024, relatives of hostages and activists from women's rights groups protested on Ayalon Highway in Tel Aviv city, calling on the government to secure an immediate hostage release deal. Protesters blocked traffic, likely by standing or walking on the roads.",0,"crowd size=no report",1731368110
ISR42879,"05 November 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Israel)","Women (Israel)",Protesters,,,,"Protesters only",,376,"Middle East",Israel,Jerusalem,Jerusalem,"Judean Mountains","Jerusalem - Givat Ram",31.7755,35.2027,1,Ynet,National,"On 5 November 2024, about 100 activists from women's rights organizations, including mothers of hostages, held a protest outside of the prime minister's office in Jerusalem - Givat Ram (Judean Mountains), calling on the government to secure an immediate hostage release deal.",0,"crowd size=about 100",1731368110
ISR42894,"05 November 2024",2024,1,Demonstrations,Riots,"Violent demonstration","Rioters (Israel)","Government of Israel (2022-); HaAvoda: Israeli Labour Party",Rioters,"Police Forces of Israel (2022-)",,"State forces","State forces-Rioters",,376,"Middle East",Israel,"Tel Aviv","Tel Aviv","Tel Aviv","Tel Aviv",32.0809,34.7806,1,"Haaretz; Kan News; Times of Israel; Ynet",National,"On 5 November 2024, thousands demonstrated on Ayalon Highway in Tel Aviv against Prime Minister Netanyahu and his decision to fire Defense Minister Yoav Gallant. Demonstrators also called for a hostage release deal. Demonstrators blocked traffic on the highway for over four hours, lit bonfires, set off fireworks, and placed concrete blocks on the road. Clashes broke out between demonstrators and police. Police used skunk water cannons and forcefully dispersed demonstrators. Police arrested about 40 demonstrators. Police were documented shoving a Labor party MK who was present at the demonstration. Demonstrations erupted around the country immediately following Gallant's firing.",0,"crowd size=thousands",1731368110
ISR42895,"05 November 2024",2024,1,Demonstrations,Riots,"Violent demonstration","Rioters (Israel)",,Rioters,"Police Forces of Israel (2022-)",,"State forces","State forces-Rioters",,376,"Middle East",Israel,Jerusalem,Jerusalem,"Judean Mountains",Jerusalem,31.769,35.2163,1,"Haaretz; Kan News; Kol Hair; Times of Israel; Ynet",Subnational-National,"On 5 November 2024, thousands demonstrated near the prime minister's residence in Jerusalem (Judean Mountains) against Prime Minister Netanyahu and his decision to fire Defense Minister Yoav Gallant. Demonstrators called Netanyahu a 'tyrant.' Demonstrators also called for an immediate hostage release deal. Clashes broke out between demonstrators and police. Police forces arrested four demonstrators. Demonstrations erupted around the country immediately following Gallant's firing.",0,"crowd size=thousands",1731368110
