Date,Event,Before,After
2024-08-01,"The assassination of Muhammad Daf, the commander of the military arm of Hamas",,
2024-09-01,The IDF located and rescued the bodies of 6 hostages who were murdered by Hamas terrorists in Gaza,,
2024-10-01,Iran launched a large-scale attack of over 180 ballistic missiles - directly from Iranian soil towards the State of Israel,,
2024-09-09,"Commander of the Central Command in the US Army, met for the first time to assess the situation with the Chief of the IDF General Staff",,
2023-12-01,end of ceaze fire,1.0,1.0
2024-05-01,The Rafah crossing opened for humanitarian aid,,
2024-01-10,Plestinian news channels report that IDF killed 2 jounalists in Rafah,0.0,1.0
2024-02-12,Operation Golden Hand - rescue of two hostages,0.0,1.0
2024-04-13,Iran's first attack (at night),0.0,1.0
2023-10-13,IDF tells UN he plans to evacuate 1M gazans,0.0,1.0
2023-11-13,conquering the gazan parlament,0.0,1.0
2024-07-14,Elimination of the Khan Yunis commander,,
2023-11-15,IDF enters Shifa hospitel,1.0,1.0
2023-12-15,IDF mistakely kills 3 hostages,0.0,1.0
2024-03-15,"Chaos during the delivery of humanitarian aid – dozens of Gazans killed by Hamas fire, followed by their false claim that we were responsible for the attack.",0.0,1.0
2024-02-16,Entrance to Nasser Hospital - discovery of abductees staying there,0.0,1.0
2023-10-17,Al-Ahli hospitel bombing,0.0,1.0
2024-10-17,"The IDF eliminated Yahya Sinwar, a Hamas leader active in the southern Gaza Strip.",,
2024-03-17,Raid on Al-Shifa Hospital.,0.0,1.0
2024-05-17,Retrieval of the bodies of 3 hostages,,
2024-09-17,Biperim,0.0,1.0
2023-10-18,Biden's visit,0.0,1.0
2023-11-18,Palestenian terrorist died in prison,0.0,1.0
2023-12-18,IDF destroys 'Tsuk Eitan' monument,0.0,1.0
2024-05-18,Retrieval of a hostage's body,,
2024-02-19,Publish the documentation of the kidnapping of the Bibas family,0.0,1.0
2024-08-20,The IDF rescued the bodies of 6 abductees from the Gaza Strip,,
2024-08-20,About 100 rocket launches from Lebanon were launched towards Israel,,
2023-10-20,Hamas releases 2 hostages,0.0,1.0
2023-10-22,Blinken's visit,0.0,1.0
2023-10-23,Hamas releases 2 hostages,0.0,1.0
2023-11-24,start of ceaze fire,1.0,1.0
2024-04-24,Hamas released a video of the American hostage Hirsch Poland,0.0,
2024-07-24,Retrieval of 5 hostages' bodies,,
2024-05-25,Retrieval of the bodies of 3 hostages,,
2023-10-26,start of ground manouver,1.0,1.0
2024-08-27,The rescue of the kidnapped Farhan Kadi from the Gaza Strip,,
2023-11-27,Elon Musk's visit,0.0,1.0
2024-07-27,Drone crash in Majdal Shams,,
2024-09-28,"The IDF eliminated Hassan Nasrallah, the leader of Hezbollah and one of its founders",,
2024-03-28,Documentation of a detained terrorist regarding a sexual assault he experienced in prison.,0.0,1.0
2024-09-30,IDF invaded Southern Lebanon,,
2023-10-30,Ori Megidish release,0.0,1.0
2024-07-30,Elimination of Fouad Shukr in Lebanon,,
2024-07-31,Elimination of Haniya,0.0,1.0
2024-03-04,Publication of proof that UNRA employees were part of the massacre,0.0,1.0
2023-12-05,IDF entes Han Yunes,1.0,1.0
2023-10-07,start of the war,0.0,1.0
2024-02-07,Discovery of a tunnel in Khan Yunis in which appalling conditions where kidnapped people were kept were discovered,0.0,1.0
2024-06-08,Rescue of 4 hostages,,
2023-11-09,Israel increases humaniterian aid,1.0,1.0
2024-03-09,Elimination of Marwan Issa.,0.0,1.0
