event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
ISR42952,"08 November 2024",2024,1,"Strategic developments","Strategic developments","Disrupted weapons use","Military Forces of Israel (2022-)",,"State forces",Hezbollah,,"Political militia","State forces-Political militia",,376,"Middle East",Israel,HaZafon,Akko,Nahariyya,Nahariyya,33.0089,35.0981,2,"N12; Times of Israel; Ynet",National,"Interception: On 8 November 2024, Israeli military forces intercepted a number of drones (likely armed) over the area of Nahariyya (Akko, HaZafon). Hezbollah forces in Lebanon launched the drones.",0,,1731368111
ISR42954,"08 November 2024",2024,1,"Strategic developments","Strategic developments","Disrupted weapons use","Military Forces of Israel (2022-)",,"State forces",Hezbollah,,"Political militia","State forces-Political militia",,376,"Middle East",Israel,HaZafon,Akko,Akko,Akko,32.9281,35.0765,2,"N12; Times of Israel; Ynet",National,"Interception: On 8 November 2024, Israeli military forces intercepted rockets over the area of Akko (HaZafon). Hezbollah forces in Lebanon fired at least 30 rockets toward Akko and surrounding areas, some of which were intercepted.",0,,1731368111
ISR42957,"08 November 2024",2024,1,"Strategic developments","Strategic developments","Disrupted weapons use","Military Forces of Israel (2022-)",,"State forces",Hezbollah,,"Political militia","State forces-Political militia",,376,"Middle East",Israel,HaZafon,Akko,Nahariyya,"Kafr Yasif",32.9545,35.1623,3,"Arutz Sheva; Haaretz; N12; Times of Israel; Ynet",National,"Interception: On 8 November 2024, Israeli military forces intercepted four rockets that were fired by Hezbollah forces in Lebanon. Hezbollah forces fired five rockets that set off sirens in northern and central Israel. No location specified for interceptions. Coded to Kafr Yasif (Akko, HaZafon).",0,,1731368111
ISR42958,"08 November 2024",2024,1,"Strategic developments","Strategic developments","Disrupted weapons use","Military Forces of Israel (2022-)",,"State forces","Military Forces of Yemen (2017-) Houthi",,"External/Other forces","State forces-External/Other forces",,376,"Middle East",Israel,HaDarom,"Beer Sheva","Beer Sheva",Nevatim,31.2242,34.881,2,"Haaretz; Israeli Air Force; Jerusalem Post; N12; Times of Israel; Yemeni Army - Houthi",Other-National,"Interception: On 8 November 2024, Israeli military forces intercepted a ballistic missile in the area of the IDF airbase in Nevatim (Beer Sheva, HaDarom). Houthi forces in Yemen claimed responsibility for firing the Paltestine-2 ballistic missile, claiming to target the airbase.",0,,1731368111
ISR42959,"08 November 2024",2024,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack",Hezbollah,,"Political militia",,,,"Political militia only",,376,"Middle East",Israel,HaZafon,Akko,Akko,Akko,32.9281,35.0765,2,"N12; Times of Israel; Ynet",National,"On 8 November 2024, Hezbollah forces in Lebanon fired at least 30 rockets toward Akko (HaZafon) and surrounding areas. Most of the rockets fell in open areas. No casualties occurred.",0,,1731368111
ISR42960,"08 November 2024",2024,1,"Strategic developments","Strategic developments","Disrupted weapons use","Military Forces of Israel (2022-)",,"State forces",Hezbollah,,"Political militia","State forces-Political militia",,376,"Middle East",Israel,Haifa,Haifa,Haifa,Haifa,32.8184,34.9885,2,"Mynet; N12; Times of Israel; Ynet",National,"Interception: On 8 November 2024, Israeli military forces intercepted rockets over the area of Haifa. Hezbollah forces in Lebanon fired at least ten rockets toward Haifa and surrounding areas, some of which were intercepted.",0,,1731368111
ISR42961,"08 November 2024",2024,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack",Hezbollah,,"Political militia",,,,"Political militia only",,376,"Middle East",Israel,HaZafon,Akko,Nahariyya,"Kafr Yasif",32.9545,35.1623,1,"Arutz Sheva; Haaretz; N12; Times of Israel; Ynet",National,"On 8 November 2024, Hezbollah forces in Lebanon fired five rockets that set off sirens in northern and central Israel. One of the rockets directly impacted Kafr Yasif (Akko, HaZafon), causing property damage. No casualties occurred.",0,,1731368111
ISR42962,"08 November 2024",2024,1,"Strategic developments","Strategic developments","Disrupted weapons use","Military Forces of Israel (2022-)",,"State forces",Hezbollah,,"Political militia","State forces-Political militia",,376,"Middle East",Israel,HaZafon,Akko,Nahariyya,Nahariyya,33.0089,35.0981,2,"N12; Times of Israel; Ynet",National,"Interception: On 8 November 2024, Israeli military forces intercepted rockets over the area of Nahariyya (Akko, HaZafon). Hezbollah forces in Lebanon fired about ten rockets toward Nahariyya and surrounding areas, some of which were intercepted.",0,,1731368111
ISR42963,"08 November 2024",2024,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack",Hezbollah,,"Political militia",,,,"Political militia only",,376,"Middle East",Israel,Haifa,Haifa,Haifa,Haifa,32.8184,34.9885,2,"Mynet; N12; Times of Israel; Ynet",National,"On 8 November 2024, Hezbollah forces in Lebanon fired at least ten rockets toward Haifa city and surrounding areas. Some of the rockets fell in open areas. No casualties occurred.",0,,1731368111
ISR42964,"08 November 2024",2024,1,"Strategic developments","Strategic developments","Disrupted weapons use","Military Forces of Israel (2022-)",,"State forces",Hezbollah,,"Political militia","State forces-Political militia",,376,"Middle East",Israel,HaZafon,Akko,Nahariyya,"Rosh HaNikra",33.0861,35.1135,2,"Haaretz; Ynet",National,"Interception: On 8 November 2024, Israeli military forces intercepted a drone (likely armed) over the area of Rosh HaNikra (Akko, HaZafon). Hezbollah forces in Lebanon launched the drone.",0,,1731368111
ISR42965,"08 November 2024",2024,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack",Hezbollah,,"Political militia",,,,"Political militia only",,376,"Middle East",Israel,HaZafon,Akko,Nahariyya,Nahariyya,33.0089,35.0981,2,"N12; Times of Israel; Ynet",National,"On 8 November 2024, Hezbollah forces in Lebanon fired about ten rockets toward Nahariyya (Akko, HaZafon) and surrounding areas. Some of the rockets fell in open areas. No casualties occurred.",0,,1731368111
ISR42966,"08 November 2024",2024,1,"Strategic developments","Strategic developments","Disrupted weapons use","Military Forces of Israel (2022-)",,"State forces",Hezbollah,,"Political militia","State forces-Political militia",,376,"Middle East",Israel,HaZafon,Zefat,"Eastern Upper Galilee",Margaliyyot,33.2147,35.5449,2,Ynet,National,"Interception: On 8 November 2024, Israeli military forces intercepted a drone (likely armed) over the area of Margaliyyot (Zefat, HaZafon). Hezbollah forces in Lebanon launched the drone.",0,,1731368111
ISR42967,"08 November 2024",2024,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack",Hezbollah,,"Political militia",,,,"Political militia only",,376,"Middle East",Israel,HaZafon,Zefat,"Hula Basin","Kiryat Shmona",33.2073,35.572,2,N12,National,"On 8 November 2024, Hezbollah forces in Lebanon fired about five rockets that fell in open areas near Kiryat Shmona (Zefat, HaZafon). No casualties occurred.",0,,1731368111
ISR42968,"08 November 2024",2024,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack",Hezbollah,,"Political militia",,,,"Political militia only",,376,"Middle East",Israel,Haifa,Haifa,Haifa,"Qiryat Bialik",32.8275,35.0858,1,Mynet,National,"On 8 November 2024, Hezbollah forces in Lebanon fired at least ten rockets toward Haifa city and surrounding areas, including Qiryat Bialik (Haifa). Some of the rocket were intercepted. Shrapnel from the interceptions fell in Qiryat Bialik. No casualties occurred.",0,,1731368111
ISR42938,"07 November 2024",2024,1,"Strategic developments","Strategic developments","Disrupted weapons use","Military Forces of Israel (2022-)",,"State forces",Hezbollah,,"Political militia","State forces-Political militia",,376,"Middle East",Israel,Haifa,Haifa,Haifa,Haifa,32.8184,34.9885,2,"Haaretz; Hai Po; Mynet; N12",Subnational-National,"Interception: On 7 November 2024, Israeli military forces intercepted rockets over the area of Haifa. Hezbollah forces in Lebanon fired at least 30 rockets toward Haifa and surrounding areas, some of which were intercepted.",0,,1731368110
ISR42944,"07 November 2024",2024,1,"Strategic developments","Strategic developments","Disrupted weapons use","Military Forces of Israel (2022-)",,"State forces",Hezbollah,,"Political militia","State forces-Political militia",,376,"Middle East",Israel,HaZafon,Zefat,"Hula Basin","Kefar Yuval",33.2475,35.5981,2,Haaretz,National,"Interception: On 7 November 2024, Israeli military forces intercepted a drone (likely armed) over the area of Kefar Yuval (Zefat, HaZafon). Hezbollah forces in Lebanon fired the drone.",0,,1731368110
ISR42947,"07 November 2024",2024,1,"Strategic developments","Strategic developments","Disrupted weapons use","Military Forces of Israel (2022-)",,"State forces","Hamas Movement",,"Political militia","State forces-Political militia",,376,"Middle East",Israel,HaDarom,Ashqelon,Ashqelon,"Netiv Haasara",31.572,34.5396,2,"Calcalist; Haaretz; Times of Israel",National,"Interception: On 7 November 2024, Israeli military forces intercepted a rocket over the area of Netiv Haasara (Ashqelon, HaDarom). Hamas militants in Gaza likely fired the rocket.",0,,1731368110
ISR42948,"07 November 2024",2024,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack",Hezbollah,,"Political militia",,,,"Political militia only",,376,"Middle East",Israel,Haifa,Haifa,Haifa,"Qiryat Motzkin",32.839,35.0774,1,"Haaretz; Hai Po; Mynet; N12",Subnational-National,"On 7 November 2024, Hezbollah forces in Lebanon fired at least 30 rockets toward Haifa and surrounding areas. At least one direct impact occurred in Qiryat Motzkin (Haifa), causing damage to a residential building. No casualties occurred.",0,,1731368111
ISR42949,"07 November 2024",2024,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack",Hezbollah,,"Political militia",,,,"Political militia only",,376,"Middle East",Israel,Haifa,Haifa,Haifa,"Qiryat Yam",32.8497,35.0697,1,"Haaretz; Hai Po; Mynet; N12",Subnational-National,"On 7 November 2024, Hezbollah forces in Lebanon fired at least 30 rockets toward Haifa and surrounding areas. Direct impacts occurred in Qiryat Yam (Haifa), causing damage to several vehicles and sparking fires in the area. No casualties occurred.",0,,1731368111
ISR42950,"07 November 2024",2024,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack",Hezbollah,,"Political militia",,,,"Political militia only",,376,"Middle East",Israel,Haifa,Haifa,Haifa,Haifa,32.8184,34.9885,2,"Haaretz; Hai Po; Mynet; N12",Subnational-National,"On 7 November 2024, Hezbollah forces in Lebanon fired at least 30 rockets toward Haifa and surrounding areas. Some of the rockets fell in open areas near Haifa. No casualties occurred.",0,,1731368111
ISR42951,"07 November 2024",2024,1,"Strategic developments","Strategic developments","Disrupted weapons use","Military Forces of Israel (2022-)",,"State forces",Hezbollah,,"Political militia","State forces-Political militia",,376,"Middle East",Israel,Haifa,Haifa,Haifa,Krayot,32.8417,35.0714,2,"Calcalist; Hai Po; Ma'ariv; Mynet; N12",Subnational-National,"Interception: On 7 November 2024, Israeli military forces intercepted rockets over the area of the Krayot (Haifa). Hezbollah forces in Lebanon fired at least 40 rockets towad the Krayot and surrounding areas, some of which were intercepted.",0,,1731368111
ISR42953,"07 November 2024",2024,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack",Hezbollah,,"Political militia",,,,"Political militia only",,376,"Middle East",Israel,HaZafon,Zefat,"Hula Basin","Kiryat Shmona",33.2073,35.572,2,Haaretz,National,"On 7 November 2024, Hezbollah forces in Lebanon fired about 20 rockets toward Kiryat Shmona (Zefat, HaZafon) and surrounding areas. No direct hits or interceptions were reported, as the rockets likely fell in open areas near Kiryat Shmona. No casualties occurred.",0,,1731368111
ISR42955,"07 November 2024",2024,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack",Hezbollah,,"Political militia","Civilians (Israel)",,Civilians,"Political militia-Civilians","Civilian targeting",376,"Middle East",Israel,HaZafon,Akko,Akko,"Kefar Masaryk",32.8902,35.0989,1,"Calcalist; Hai Po; Mynet; N12; News 0404",National,"On 7 November 2024, Hezbollah forces in Lebanon fired at least 40 rockets towad the Krayot and surrounding areas, including Kefar Masaryk (Akko, HaZafon). Rockets and shrapnel directly impacted Kefar Masaryk, injuring a civilian and causing property damage.",0,,1731368111
ISR42956,"07 November 2024",2024,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack",Hezbollah,,"Political militia",,,,"Political militia only",,376,"Middle East",Israel,Haifa,Haifa,Haifa,Krayot,32.8417,35.0714,2,"Calcalist; Hai Po; Ma'ariv; Mynet; N12",Subnational-National,"On 7 November 2024, Hezbollah forces in Lebanon fired at least 40 rockets towad the Krayot (Haifa) and surrounding areas. Some of the rockets fell in open areas near the Krayot. No casualties occurred.",0,,1731368111
ISR42893,"06 November 2024",2024,1,"Strategic developments","Strategic developments","Disrupted weapons use","Military Forces of Israel (2022-)",,"State forces",Hezbollah,,"Political militia","State forces-Political militia",,376,"Middle East",Israel,Haifa,Haifa,Haifa,Krayot,32.8417,35.0714,2,"Haaretz; Kan News; N12; Times of Israel",National,"Interception: On 6 November 2024, Israeli military forces intercepted rockets over the area of the Krayot (Haifa). Hezbollah forces in Lebanon fired about 25 rockets toward the Krayot, Akko, and surrounding areas. Some of the rockets were intercepted over the area of the Krayot.",0,,1731368110
ISR42899,"06 November 2024",2024,1,"Strategic developments","Strategic developments","Disrupted weapons use","Military Forces of Israel (2022-)",,"State forces",Hezbollah,,"Political militia","State forces-Political militia",,376,"Middle East",Israel,HaZafon,Akko,Akko,Akko,32.9281,35.0765,2,"Haaretz; Kan News; N12; Times of Israel",National,"Interception: On 6 November 2024, Israeli military forces intercepted rockets over the area of Akko (HaZafon). Hezbollah forces in Lebanon fired about 25 rockets toward the Krayot, Akko, and surrounding areas. Some of the rockets were intercepted over the area of Akko.",0,,1731368110
ISR42907,"06 November 2024",2024,1,"Strategic developments","Strategic developments","Disrupted weapons use","Military Forces of Israel (2022-)",,"State forces","Hamas Movement",,"Political militia","State forces-Political militia",,376,"Middle East",Israel,HaDarom,"Beer Sheva",Besor,Kissufim,31.3749,34.3984,2,"News 0404; Times of Israel",National,"Interception: On 6 November 2024, Israeli military forces intercepted a rocket over the area of Kissufim (Beer Sheva, HaDarom). Hamas militants in Gaza likely fired the rocket.",0,,1731368110
ISR42925,"06 November 2024",2024,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack",Hezbollah,,"Political militia","Civilians (Israel)",,Civilians,"Political militia-Civilians","Civilian targeting",376,"Middle East",Israel,HaZafon,Akko,Akko,"Kefar Masaryk",32.8902,35.0989,1,"Haaretz; Kan News; N12; Times of Israel",National,"On 6 November 2024, Hezbollah forces in Lebanon fired abut 25 rockets toward the Krayot, Akko, and surrounding areas, including Kefar Masaryk (Akko, HaZafon). Direct impacts occurred in Kefar Masaryk, killing a civilian.",1,,1731368110
ISR42926,"06 November 2024",2024,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack",Hezbollah,,"Political militia",,,,"Political militia only",,376,"Middle East",Israel,Haifa,Haifa,Haifa,Krayot,32.8417,35.0714,2,"Haaretz; Kan News; N12; Times of Israel",National,"On 6 November 2024, Hezbollah forces in Lebanon fired abut 25 rockets toward the Krayot (Haifa), Akko, and surrounding areas. Some of the rockets fell in open areas near the Krayot. No casualties occurred.",0,,1731368110
ISR42927,"06 November 2024",2024,1,"Strategic developments","Strategic developments","Disrupted weapons use","Military Forces of Israel (2022-)",,"State forces",Hezbollah,,"Political militia","State forces-Political militia",,376,"Middle East",Israel,HaZafon,Zefat,"Eastern Upper Galilee",Avivim,33.0889,35.4723,2,"N12; Times of Israel; Walla!News",National,"Interception: On 6 November 2024, Israeli military forces intercepted rockets over the area of Avivim (Zefat, HaZafon). Hezbollah forces in Lebanon fired about 50 rockets toward Avivim and surrounding areas, some of which were intercepted.",0,,1731368110
ISR42928,"06 November 2024",2024,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack",Hezbollah,,"Political militia",,,,"Political militia only",,376,"Middle East",Israel,HaZafon,Akko,Akko,Akko,32.9281,35.0765,2,"Haaretz; Kan News; N12; Times of Israel",National,"On 6 November 2024, Hezbollah forces in Lebanon fired abut 25 rockets toward the Krayot, Akko (HaZafon), and surrounding areas. Some of the rockets fell in open areas near Akko. No casualties occurred.",0,,1731368110
ISR42929,"06 November 2024",2024,1,"Strategic developments","Strategic developments","Disrupted weapons use","Military Forces of Israel (2022-)",,"State forces",Hezbollah,,"Political militia","State forces-Political militia",,376,"Middle East",Israel,HaMerkaz,Ramla,Ramle,Tzrifin,31.9573,34.8406,3,"Israel Hayom; N12; Times of Israel; Walla!News",National,"Interception: On 6 November 2024, Israeli military forces intercepted ten rockets over the area of central Israel. Hezbollah forces in Lebanon fired 11 long-range rockets toward central Israel, claiming to target the IDF base in Tzrifin (Ramla, HaMerkaz). Ten of the rockets were intercepted, some of which over the area of Tzrifin.",0,,1731368110
ISR42930,"06 November 2024",2024,1,"Strategic developments","Strategic developments","Disrupted weapons use","Military Forces of Israel (2022-)",,"State forces",Hezbollah,,"Political militia","State forces-Political militia",,376,"Middle East",Israel,HaMerkaz,"Petah Tiqwa","Southern Sharon",Raanana,32.1836,34.8739,2,"Israel Hayom; N12; News 0404; Times of Israel; Walla!News",National,"Interception: On 6 November 2024, Israeli military forces intercepted ten rockets over the area of central Israel, including at least one over the area of Raanana (Petah Tiqwa, HaMerkaz). Hezbollah forces in Lebanon fired the rockets.",0,,1731368110
ISR42931,"06 November 2024",2024,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack",Hezbollah,,"Political militia","Military Forces of Israel (2022-)",,"State forces","State forces-Political militia",,376,"Middle East",Israel,HaZafon,Zefat,"Eastern Upper Galilee",Avivim,33.0889,35.4723,1,"Haaretz; N12; News 0404; Times of Israel; Walla!News",National,"On 6 November 2024, Hezbollah forces in Lebanon fired about 50 rockets toward Avivim (Zefat, HaZafon) and surrounding areas. Direct impacts occurred in Avivim, killing one soldier and injuring three additional soldiers. The impacts also sparked fires and casued power outages in the area.",1,,1731368110
ISR42932,"06 November 2024",2024,1,"Strategic developments","Strategic developments","Disrupted weapons use","Military Forces of Israel (2022-)",,"State forces",Hezbollah,,"Political militia","State forces-Political militia",,376,"Middle East",Israel,HaZafon,Akko,Nahariyya,Nahariyya,33.0089,35.0981,2,"Haaretz; News 0404; Times of Israel",National,"Interception: On 6 November 2024, Israeli military forces intercepted a drone (likely armed) over the area of Nahariyya (Akko, HaZafon). Hezbollah forces in Lebanon launched the drone.",0,,1731368110
ISR42933,"06 November 2024",2024,1,"Strategic developments","Strategic developments","Disrupted weapons use","Military Forces of Israel (2022-)",,"State forces","Unidentified Armed Group (Iraq)",,"Political militia","State forces-Political militia",,376,"Middle East",Israel,HaDarom,"Beer Sheva",Arava,Eilat,29.5581,34.9482,3,"News 0404; Times of Israel",National,"Interception: On 6 November 2024, Israeli military forces intercepted a drone (likely armed) that was heading toward Israel from Iraq. No armed group claimed responsibility. No location specified for the interception, though the aerial object was intercepted prior to entering Israeli territory. Coded to Eilat (Beer Sheva, HaDarom).",0,,1731368110
ISR42934,"06 November 2024",2024,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack",Hezbollah,,"Political militia",,,,"Political militia only",,376,"Middle East",Israel,HaMerkaz,"Petah Tiqwa","Southern Sharon",Raanana,32.1836,34.8739,1,"Israel Hayom; N12; News 0404; Times of Israel; Walla!News",National,"On 6 November 2024, Hezbollah forces in Lebanon fired 11 long-range rockets toward central Israel, claiming to target the Tzrifin IDF base. Ten of the rockets were intercepted. Shrapnel from an interception fell in Raanana (Petah Tiqwa, HaMerkaz), causing damage to a vehicle. No casualties occurred.",0,,1731368110
