event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp,Crowd_size,Pro Israel,Pro Palestine,Violent
USA74437,08/11/2024,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (United States),,Protesters,,,,Protesters only,,840,North America,United States,New York,New York,,New York - Manhattan,40.7834,-73.9663,1,Democracy Now!; Popular Resistance,Other-National,"On 8 November 2024, pro-Palestinian protesters demonstrated and held a hunger strike in front of the U.N. headquarters in New York - Manhattan (New York) to call for and end to the conflict in Gaza and to condemn Israel for 13 months of military action amid the Israel-Hamas war which began in October 2023.",0,no report,1731434806,,0,1,0
USA74341,07/11/2024,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (United States),AMP: American Muslims for Palestine; Muslim Group (United States),Protesters,Protesters (United States),Jewish Group (United States),Protesters,Protesters-Protesters,,840,North America,United States,New Jersey,Bergen,,Bergenfield,40.9272,-73.9975,1,Anti-Defamation League; Bergen Record,Subnational-National,"On 7 November 2024, pro-Palestinian protesters and members of New Jersey chapter of American Muslims for Palestine marched in Bergenfield (New Jersey) to support Palestine and to oppose the real estate event selling property in Israel and the West Bank. Protesters claimed that Israel is conducting an 'ethnic cleansing.' Pro-Israel protesters and members of Jewish Federation of Northern New Jersey countered the rally in support of Israel and the event. The demonstrations took place amid the Israel-Hamas war which began in October 2023.",0,counter-demonstration; no report,1731434806,,1,1,0
USA74480,07/11/2024,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (United States),Students (United States); Women (United States),Protesters,,,,Protesters only,,840,North America,United States,Virginia,Richmond city,,Richmond,37.5388,-77.4336,1,Twitter,New media,"On 7 November 2024, students rallied at Virginia Commonwealth University in Richmond (Virginia) to demonstrate against a Students for Life event, in support of abortion access, to demonstrate against President-elect Donald Trump, and in solidarity with Palestine. This campus demonstration occurred amid the Israel-Hamas war which began in October 2023.",0,no report,1731434807,,0,0,0
USA74399,06/11/2024,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (United States),Students (United States),Protesters,,,,Protesters only,,840,North America,United States,New York,Tompkins,,Ithaca,42.444,-76.5019,1,Cornell Daily Sun,Subnational,"On 6 November 2024, pro-Palestinian protesters and students demonstrated in front of Ithaca City Court ahead of a court hearing in Ithaca (New York) to support Palestine and the three protesters who were arrested for obstructing government administration and unlawful assembly at a career fair on 18 September. The demonstration took place amid the Israel-Hamas war which began in October 2023.",0,no report,1731434806,,0,1,1
USA74431,06/11/2024,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (United States),Students (United States),Protesters,,,,Protesters only,,840,North America,United States,Connecticut,New Haven,,New Haven,41.3082,-72.9279,1,Yale Daily News,Subnational,"On 6 November 2024, pro-Palestinian students and supporters with the Sumud Coalition held a rally on the campus of Yale in New Haven (Connecticut) to demand and present a petition for a divestment referendum in support of Palestine, and to call on people to continue to exercise a right to protest and dissent, as well as to support democracy following the results of the election. This campus demonstration took place amid the Israel-Hamas war which began in October 2023.",0,no report,1731434806,,0,1,0
USA74451,05/11/2024,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (United States),RCP: Revolutionary Communist Party; UAW: United Automobile Workers; Labor Group (United States); Within Our Lifetime; Palestinian Group (United States),Protesters,,,,Protesters only,,840,North America,United States,New York,New York,,New York - Manhattan,40.7834,-73.9663,1,News2Share,New media,"On 5 November 2024, demonstrators, including members of the Revolutionary Communist Party, rallied in New York - Manhattan (New York) to demonstrate against Vice President Kamala Harris and former President Donald Trump. A pro-Palestinian demonstration, including members of UAW and Within Our Lifetime, also rallied in support of Palestine, to demonstrate against Zionism, to demonstrate against the 'genocide' in Palestine, to demonstrate against 'Genocide Joe' and 'Holocaust Harris.' This demonstration occurred amid the Israel-Hamas war which began in October 2023.",0,no report,1731434806,,0,1,0
CAN7355,05/11/2024,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Canada),Indigenous Group (Canada),Protesters,,,,Protesters only,,124,North America,Canada,British Columbia,Metro Vancouver,,Vancouver,49.2572,-123.1004,1,APTN (Canada),National,"On 5 November 2024, people, including Indigenous community members and pro-Palestinian protesters, staged a rally outside the hotel during the Canada Pension Plan Board's meeting at the Vancouver Art Gallery in Vancouver (British Columbia) to demand divestment from fossil fuels, weapons, and companies that violate Indigenous rights. Demonstrators condemned Israel's actions as 'genocide.' This demonstration took place amid the Israel-Hamas war which began in October 2023.",0,no report,1731434807,,0,1,0
USA74530,05/11/2024,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (United States),Students (United States); LGBTQ+ (United States),Protesters,Protesters (United States),,Protesters,Protesters-Protesters,,840,North America,United States,District of Columbia,District of Columbia,,Washington DC - National Mall,38.8875,-77.0364,1,News2Share,New media,"On 5 November 2024, pro-Palestinian demonstrators, including students, rallied outside of the White House in Washington DC - National Mall (District of Columbia) in solidarity with Palestine and Lebanon, to demonstrate against the 'occupation' in Palestine, against democrats and republicans, against Vice President Kamala Harris, President Joe Biden, and former President Donald Trump, as well as against Zionism and against anti-LGBTQ+ legislation. A group of counter-demonstrators in support of former President Donald Trump also rallied outside of the White House. This demonstration occurred amid the Israel-Hamas war which began in October 2023.",0,counter-demonstration; no report,1731434807,,0,1,0
USA74533,05/11/2024,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (United States),PSL: Party for Socialism and Liberation,Protesters,,,,Protesters only,,840,North America,United States,District of Columbia,District of Columbia,,Washington DC - Northwest,38.9381,-77.0451,1,ABC7 (Washington D.C.); Liberation News; Twitter; WUSA9,Other-New media,"On 5 November 2024, a group of pro-Palestinian protesters, including members of the Party for Socialism and Liberation, blocked roads near the White House in Washington DC - Northwest (District of Columbia) to call for an end to US aid to Israel. Some demonstrators referred to Israel's actions as 'genocide' and said 'no Trump, no Harris, no votes for genocide.' The demonstration took place amid the Israel-Hamas war which began in October 2023.",0,no report,1731434807,,0,1,0
USA74367,03/11/2024,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (United States),PSL: Party for Socialism and Liberation,Protesters,,,,Protesters only,,840,North America,United States,Ohio,Franklin,,Columbus,39.9613,-82.9991,1,Liberation News,Other,"On 3 November 2024, pro-Palestinian protesters and members of the Party for Socialism and Liberation rallied in Columbus (Ohio) calling for 'no votes for genocide', a 'Free Palestine,' 'an end to Occupation,' an end to 'the US-Israeli war on Lebanon,' on Gaza, and an end to US aid to Israel amid the Israel-Hamas war which began in October 2023.",0,no report,1731434806,,0,1,0
