Date,Event,Before,After
10/7/2023,Start of the war,0,1
11/15/2023,IDF enters Shifa hospitel,1,1
8/29/2024,Rescue of 6 hostages bodies who were murdered by Hamas,,
4/13/2024,Iran attack with ballistic missiles,,
11/24/2023,start of ceaze fire,1,1
12/1/2023,end of ceaze fire,1,1
5/6/2024,IDF enters Rafah,,
10/17/2023,Al-Ahli hospitel bombing,0,1
9/17/2024,Beepers operation in Lebbanon,0,1
10/27/2023,start of ground manouver,1,1
6/8/2024,Rescue of Noa Argamani along with 3 more hostages ,,
11/9/2023,Israel increases humaniterian aid,1,1
